CODIGO	FUENTE	PROV	DPTO	DIST	X	Y
9700556	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01807224	-8.1261755
9700118	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.545346452	-16.408419
9701215	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.012909313	-8.100670721
9700839	WBS				-77.078812889	-12.024932891
9700748	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.0101093	-8.112864424
9700600	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.03129389	-8.100090206
9700314	API	CAMANA	AREQUIPA	SAMUEL PASTOR	-72.700671868	-16.60446883
9703005	WBS				-72.01291971	-17.018203163
9701294	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.517296934	-16.378193391
9700014	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.5149381	-16.3609325
9701867	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.002850847	-8.084015448
9700500	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.510775206	-16.405770387
9700054	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.00373833	-8.092119526
9700426	API	CAMANA	AREQUIPA	CAMANA	-72.712906958	-16.623238543
9700918	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.042334908	-8.0904195
9700373	WBS				-71.554673594	-16.379172488
9700975	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.031650828	-8.11612407
9702126	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.529071158	-16.398905378
9701265	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.010449983	-8.091901468
9699989	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.523325396	-16.4072415
9700027	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.042212888	-8.091734572
9701064	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.0163518	-8.097964885
9700228	WBS				-78.047550218	-7.811673634
9702136	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.500877779	-16.3671565
9700930	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.541335468	-16.41268
9700516	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.031204808	-8.102591904
9701277	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.522729206	-16.39557122
9700179	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.546730271	-16.395949184
9700420	WBS					
9701697	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.54557945	-16.39285591
9702192	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.016751329	-8.110698714
9702264	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.02727085	-8.111116237
9702333	WBS					
9701560	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.502019722	-16.426638136
9702372	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.4749422	-16.421841
9700439	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.012909313	-8.100670721
9701512	WBS					
9700532	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.553759297	-16.397219
9700317	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.489297067	-16.419192297
9699990	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.571812108	-16.384693272
9700822	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.53798034	-16.39987445
9701535	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.53262021	-16.399824578
9701005	API	CASTILLA	AREQUIPA	URACA	-72.4707	-16.2225
9701202	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.041810663	-8.134609206
9702479	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.529477673	-16.451161589
9700614	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.502089421	-16.403223766
9702544	API	AREQUIPA	AREQUIPA	CAYMA	-71.539686583	-16.3248335
9700123	WBS				-71.53387995	-16.40285487
9701096	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.532338012	-16.396271482
9700752	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.040867914	-8.132472103
9702329	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.023815211	-8.104914579
9700340	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.529031839	-16.4346385
9700197	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.042782056	-8.1187155
9701168	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.513321289	-16.387065818
9700097	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.015823536	-8.108462467
9701713	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.047783298	-8.09113018
9701286	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.041114443	-8.097049
9701200	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.007202738	-8.104234215
9700269	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.492640409	-16.410059244
9700445	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.040530984	-8.102508995
9700648	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.52972374	-16.4405367
9701507	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.036327423	-8.118264182
9700041	API	CARAVELI	AREQUIPA	CHALA	-74.2459	-15.8651
9700985	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.528200378	-16.404843685
9700749	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.538372346	-16.4308095
9701961	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.512115133	-16.405137731
9700152	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.545301029	-16.395665005
9700448	WBS				-71.505602959	-16.410076592
9700339	API	AREQUIPA	AREQUIPA	CAYMA	-71.546865432	-16.386695446
9701750	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.511650289	-16.403026293
9701014	API	AREQUIPA	AREQUIPA	LA JOYA	-71.8444	-16.4965
9701117	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.544735783	-16.388653499
9700208	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.021215189	-8.103350726
9701518	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.025814632	-8.12046442
9701454	WBS				-79.039323193	-8.131417531
9703105	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.503858987	-16.4246645
9702272	API	AREQUIPA	AREQUIPA	CAYMA	-71.541842777	-16.357061803
9701912	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.039486257	-8.108886199
9700848	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.483578716	-16.40488061
9701224	API	ISLAY	AREQUIPA	MOLLENDO	-72.015922941	-17.021127823
9702000	API	CAYLLOMA	AREQUIPA	CAYLLOMA	-71.7726	-15.1875
9700540	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.5090614	-16.40376705
9700559	WBS				-71.539421917	-16.398530536
9702098	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.54536985	-16.41224922
9701095	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.031749262	-8.10845403
9701148	WBS					
9700754	API	CAYLLOMA	AREQUIPA	CHIVAY	-71.6009	-15.6396
9700668	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.008598886	-8.109010774
9700602	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.026355098	-8.097944683
9701093	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.039022927	-8.100617097
9702340	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.523955124	-16.430885
9700749	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.48550899	-16.41200919
9701407	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.016635854	-8.10900096
9701510	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.530200947	-16.401616671
9701754	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.047207574	-8.1145675
9700593	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.005351481	-8.0920225
9700525	API	AREQUIPA	AREQUIPA	HUNTER	-71.551493745	-16.449839297
9702077	API	AREQUIPA	AREQUIPA	CAYMA	-71.553052014	-16.379566
9700500	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.032003108	-8.1249305
9702332	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.520625006	-16.432719
9700274	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.5245685	-16.471085
9702419	WBS				-71.53269829	-16.410461445
9700111	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.012727273	-8.089366396
9700049	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.580601124	-16.394491398
9700250	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.5184279	-16.39774947
9701539	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.017303904	-8.107252191
9701361	API	AREQUIPA	AREQUIPA	CAYMA	-71.548879429	-16.3487555
9701549	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.037155297	-8.123550087
9700221	WBS				-79.024785308	-8.112521562
9702988	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.024827615	-8.115023576
9702105	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.025963206	-8.11565483
9702109	API	CAYLLOMA	AREQUIPA	CAYLLOMA	-71.7726	-15.1875
9700323	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.52998618	-16.398434611
9700013	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.5353696	-16.40221218
9702276	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.541642335	-16.391967065
9702227	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.018121457	-8.114285563
9701775	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.519159184	-16.409007
9702040	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.525916538	-16.387301694
9702739	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.529515131	-16.4140025
9700683	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01558465	-8.10969438
9700376	API	AREQUIPA	AREQUIPA	LA JOYA	-71.843685325	-16.4929805
9701603	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.503282118	-16.412664204
9701282	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.035562289	-8.12352623
9701885	API	AREQUIPA	AREQUIPA	UCHUMAYO	-71.661983408	-16.4243125
9701300	WBS				-71.52516955	-16.392967952
9700220	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.021558502	-8.123860781
9701283	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.019700778	-8.1230525
9700721	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.509605576	-16.434420581
9700538	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.523879418	-16.448690212
9700742	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.034989801	-8.097925947
9702375	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.020815134	-8.118068193
9701068	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.009663604	-8.111366289
9701312	WBS				-79.015710229	-8.098336061
9700930	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.518849003	-16.399132556
9701316	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.032707938	-8.102700729
9702917	WBS					
9701056	API	CAYLLOMA	AREQUIPA	MAJES		
9701302	API	AREQUIPA	AREQUIPA	SAN JUAN DE TARUCANI	-71.1561	-16.3218
9701197	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.021893917	-8.122590561
9701625	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01423418	-8.10664288
9701229	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.565624107	-16.35416566
9700103	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.53271022	-16.4056766
9700275	WBS				-71.53391565	-16.4018409
9702145	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.593383515	-16.3284535
9700922	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.512778702	-16.403375647
9700830	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.487676126	-16.415079623
9701227	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01926587	-8.125948119
9700497	WBS					
9700331	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.015143127	-8.100305478
9700044	WBS					
9702017	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.013124171	-8.098652436
9700510	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.53906554	-16.4172545
9700922	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.513896177	-16.405294377
9702358	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.51467458	-16.42544873
9701251	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.551041834	-16.402826391
9701699	API	AREQUIPA	AREQUIPA	HUNTER	-71.566161831	-16.448055196
9700922	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.524377168	-16.429577
9700919	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.026657934	-8.112170174
9701403	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.020102804	-8.112655813
9700731	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.02076797	-8.095629708
9703231	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.032146377	-8.100377087
9701588	API	ISLAY	AREQUIPA	MOLLENDO	-72.008250111	-17.019047952
9700681	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.053424715	-8.100762159
9701488	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.004431021	-8.100220516
9700363	API	CAYLLOMA	AREQUIPA	CAYLLOMA	-71.7726	-15.1875
9700092	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.03222706	-8.103530097
9701652	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.530435516	-16.3656365
9700397	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.006130269	-8.109658612
9700890	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.509728718	-16.419248687
9701574	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01996917	-8.1226295
9700809	API	CARAVELI	AREQUIPA	CHALA	-74.2459	-15.8651
9701322	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.505342329	-16.403648023
9700239	WBS				-79.022849251	-8.097681733
9700471	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.553638865	-16.3904195
9700691	API	AREQUIPA	AREQUIPA	TIABAYA	-71.5990724	-16.43813373
9700586	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.520979678	-16.435686
9701497	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.044664005	-8.120176
9700061	API	ISLAY	AREQUIPA	ISLAY	-72.096820824	-17.002259674
9702005	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.539195185	-16.385045974
9700348	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01380609	-8.105705682
9700285	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.51305632	-16.416583657
9701720	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.030604769	-8.108867353
9700999	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.52846966	-16.398225059
9700041	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.51047447	-16.41320498
9701265	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.512374878	-16.382485647
9700611	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.52027738	-16.39658521
9701919	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.524241758	-16.40804722
9701606	API	AREQUIPA	AREQUIPA	HUNTER	-71.55698771	-16.439390992
9702344	API	AREQUIPA	AREQUIPA	CAYMA	-71.545351679	-16.379874868
9701243	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.531197081	-16.406550636
9701259	API	AREQUIPA	AREQUIPA	CAYMA	-71.542905857	-16.355685807
9700332	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.56118183	-16.375646875
9700994	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.032362305	-8.09803716
9700996	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.506196746	-16.395456
9701012	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.035142966	-8.121637513
9700233	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.509959655	-16.397867654
9701368	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.525197026	-16.389211626
9702357	WBS					
9701934	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.531467692	-16.431607
9701913	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.519461282	-16.38406107
9700435	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.568211084	-16.4256005
9700071	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.022085515	-8.095637425
9700624	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.5029842	-16.374880274
9701925	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.019591125	-8.12841133
9701643	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.024799556	-8.096326446
9700827	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.514683909	-16.374175145
9700463	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.537828336	-16.411891108
9700258	WBS					
9700798	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.521588217	-16.366867604
9702307	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.562359231	-16.432296319
9702485	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.516940462	-16.403301067
9700432	WBS	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.535029	-16.403066
9701577	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.569077339	-16.410105093
9700528	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.540960896	-16.4297195
9701844	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.043213735	-8.1199865
9700720	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.039376142	-8.107075072
9701687	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.044261974	-8.114691
9702384	WBS					
9701596	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.03083416	-8.115222887
9701354	API	ISLAY	AREQUIPA	MOLLENDO	-72.015958371	-17.02821754
9700386	API	AREQUIPA	AREQUIPA	HUNTER	-71.550508926	-16.447767205
9702050	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.043310138	-8.1272784
9701669	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.0172445	-8.097685137
9700969	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.509665834	-16.414387922
9701150	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.540540043	-16.389917212
9701667	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.544856996	-16.408992142
9700399	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.016028474	-8.098874151
9701184	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.02850064	-8.114676041
9702081	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.52936658	-16.4203755
9702738	WBS					
9700965	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.52790535	-16.415661
9700540	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.525926532	-16.397851483
9701022	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.564117026	-16.374634262
9700429	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.020913429	-8.11266861
9701024	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.54634374	-16.399355264
9700330	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.531737576	-16.429303027
9701347	API	AREQUIPA	AREQUIPA	CAYMA	-71.553056207	-16.339125
9702075	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.540633227	-16.403782776
9702249	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.539344383	-16.448268252
9700250	WBS				-71.520540971	-16.380577777
9701716	API	CAMANA	AREQUIPA	MARIANO NCLAS VALC	-73.1721	-15.9888
9702417	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.006057469	-8.096189477
9700376	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.51340108	-16.4241014
9700254	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.522144495	-16.446079
9700269	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.037618263	-8.118567014
9701079	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.019291453	-8.104231129
